fco,epsco,D,L,ff,Ef,tf,epscu
43.0,0.23,100,457,2663,99.0,3.86,0.57
80.5,0.34,105,305,2930,118.0,0.6,2.81
114.7,0.29,194,300,230,118.0,1.27,0.45
114.7,0.45,105,762,2390,120.0,1.27,1.95
57.5,0.2,105,450,2930,128.5,0.191,0.6
49.6,0.35,152,305,2663,118.0,0.8,3.5
80.5,0.24,152,210,2930,125.7,0.4,2.86
39.0,0.45,105,152,230,118.0,0.2,1.45
110.2,0.34,152,582,2390,116.0,0.286,2.81
77.2,0.26,152,210,2390,128.5,0.507,1.44
114.7,0.34,152,300,2663,99.0,0.072,3.39
106.0,0.21,150,582,2060,128.5,3.86,1.58
55.2,0.33,105,152,2390,125.7,0.8,0.89
50.64,0.34,105,315,2390,13.6,0.169,3.39
28.79,0.31,152,305,230,128.5,0.286,1.88
82.4,0.45,100,200,2060,120.0,0.286,2.98
79.6,0.27,194,582,2390,128.5,1.2,0.88
43.0,0.27,100,210,2663,118.0,1.2,0.37
37.2,0.29,70,300,2900,125.7,0.286,2.6
50.64,0.26,70,305,2900,116.0,0.6,2.06
77.2,0.21,105,305,230,115.2,2.56,0.37
39.2,0.46,105,152,230,118.0,0.507,2.47
49.6,0.29,105,582,2900,120.0,0.143,3.8
119.3,0.28,194,210,2900,120.0,0.3,2.12
74.0,0.28,105,300,2390,120.0,3.86,0.54
110.1,0.23,100,305,2930,115.2,2.56,2.48
74.0,0.24,152,762,2060,125.7,1.2,1.78
77.2,0.2,105,315,2390,116.0,0.2,1.87
28.79,0.45,105,305,2930,128.5,0.072,4.78
110.1,0.29,100,200,230,120.0,1.2,1.88
49.6,0.25,152,200,2060,116.0,0.191,2.96
29.6,0.34,70,762,2900,116.0,0.169,0.51
82.4,0.28,152,582,2900,99.0,0.286,2.11
85.9,0.27,100,305,230,99.0,0.858,3.73
34.0,0.23,105,305,230,116.0,0.6,1.49
39.0,0.46,100,300,2390,118.0,0.057,3.37
110.2,0.23,150,315,3732,128.5,1.2,2.95
110.1,0.25,150,315,2930,115.2,0.095,2.07
49.6,0.34,152,200,2900,125.7,0.2,1.15
